iduser,pop57,edfa57q,edmo57q,sesp57,hsdm57,hsrankq,tchevl,gwiiq_bm,relfml,milty,mlentr,mx014rer,mx015rer,iduser0,sexrsp,packyears,edfa57qmis,edmo57qmis,sesp57mis,hsrankqmis
1007,6,7,12,4,3,41,0,86,44,0,-2,2,0,1,,0,0,0,0,0
1008,6,7,10,3,3,17,0,86,40,1,2,35,2,1,,70,0,0,0,0
1010,6,13,14,3,3,35,0,88,1,1,2,25,1,1,,25,0,0,0,0
1013,6,10,10,3,3,87,0,123,96,0,-2,20,2,1,,40,0,0,0,0
1016,6,-3,16,3,3,84,0,107,39,0,-2,0,0,1,,0,1,0,0,0
1018,6,-1,12,3,3,29,0,92,96,0,-2,16,1,1,,16,1,0,0,0
1020,6,7,7,3,3,75,0,96,40,1,2,20,1,1,,20,0,0,0,0
1021,6,-1,7,2,3,3,0,97,39,1,2,6,1,1,,6,1,0,0,0
1022,6,12,13,2,3,99,1,121,39,0,-2,0,0,1,,0,0,0,0,0
1030,6,10,-1,3,3,30,0,87,39,1,2,15,1,1,,15,0,1,0,0
1046,6,14,14,3,3,90,0,121,40,1,2,35,2,1,,70,0,0,0,0
1047,6,7,10,3,3,22,0,77,39,1,2,27,1,1,,27,0,0,0,0
1052,6,10,12,3,3,74,0,111,39,0,-2,0,0,1,,0,0,0,0,0
1058,6,14,10,3,3,53,0,125,40,0,-2,37,2,1,,74,0,0,0,0
1061,6,10,10,3,3,44,0,86,39,0,-2,25,1,1,,25,0,0,0,0
1063,6,12,12,3,3,10,0,92,39,1,2,25,0,1,,0,0,0,0,0
1066,6,10,12,2,3,72,0,123,68,1,2,3,0,1,,0,0,0,0,0
1068,6,14,12,4,3,10,0,87,18,0,-2,40,1,1,,40,0,0,0,0
1071,6,12,12,4,3,65,0,98,96,0,-2,30,0,1,,0,0,0,0,0
1077,6,14,12,4,3,41,0,96,39,1,2,0,0,1,,0,0,0,0,0
1089,6,14,10,4,3,26,0,98,96,1,2,25,1,1,,25,0,0,0,0
1096,6,12,10,4,3,2,0,88,1,1,2,5,1,1,,5,0,0,0,0
1100,6,12,12,4,3,87,0,127,39,0,-2,17,2,1,,34,0,0,0,0
1105,6,16,12,3,3,53,0,94,43,0,-2,0,0,1,,0,0,0,0,0
1107,6,10,10,3,3,9,0,86,39,0,-2,20,1,1,,20,0,0,0,0
1109,6,10,12,3,3,28,0,89,39,1,2,0,0,1,,0,0,0,0,0
1111,6,7,12,3,3,39,0,92,39,1,2,0,0,1,,0,0,0,0,0
1120,6,13,12,3,3,49,0,87,39,1,2,0,0,1,,0,0,0,0,0
1121,6,7,-1,3,3,57,0,109,39,0,-2,30,1,1,,30,0,1,0,0
1124,6,12,10,3,3,38,0,94,39,0,-2,0,0,1,,0,0,0,0,0
1134,6,13,10,3,3,56,0,103,39,1,2,14,1,1,,14,0,0,0,0
1136,6,10,12,3,3,39,0,91,38,0,-2,32,2,1,,64,0,0,0,0
2002,2,12,12,3,3,3,0,89,1,1,2,6,1,1,,6,0,0,0,0
2008,2,10,10,3,3,42,0,118,39,1,2,35,2,1,,70,0,0,0,0
3009,2,-1,7,3,3,7,1,83,40,0,-2,0,0,1,,0,1,0,0,0
4001,3,7,16,3,3,17,0,78,43,0,-2,0,0,1,,0,0,0,0,0
5001,2,10,12,3,3,-3,0,118,39,1,2,0,0,1,,0,0,0,0,1
5007,2,-3,-3,-3,3,82,0,121,39,0,-2,0,0,1,,0,1,1,1,0
6003,2,10,10,3,3,42,0,82,1,1,2,30,2,1,,60,0,0,0,0
7001,2,7,7,3,3,13,0,88,1,1,1,0,0,1,,0,0,0,0,0
7002,2,16,16,4,3,56,1,125,39,0,-2,40,3,1,,120,0,0,0,0
7005,2,-1,13,3,3,7,0,81,43,1,2,0,0,1,,0,1,0,0,0
7015,2,12,10,3,3,49,0,71,96,1,2,0,0,1,,0,0,0,0,0
8004,3,7,7,3,3,25,0,88,96,0,-2,0,0,1,,0,0,0,0,0
9001,2,7,12,3,3,59,0,88,96,1,1,0,0,1,,0,0,0,0,0
9003,2,7,7,3,3,0,0,91,44,0,-2,35,2,1,,70,0,0,0,0
9004,2,13,16,3,3,24,0,98,44,1,2,21,2,1,,42,0,0,0,0
9009,2,7,7,3,3,43,0,98,44,0,-2,12,0,1,,0,0,0,0,0
9010,2,7,7,3,3,22,0,82,96,1,2,0,0,1,,0,0,0,0,0
10001,6,7,7,3,3,67,0,104,1,0,-2,0,0,1,,0,0,0,0,0
10003,6,14,-1,3,3,58,0,102,1,0,-2,25,1,1,,25,0,1,0,0
10009,6,7,12,3,3,14,0,83,1,0,-2,38,1,1,,38,0,0,0,0
10012,6,-1,7,3,3,8,0,78,43,0,-2,35,1,1,,35,1,0,0,0
10013,6,13,10,4,3,99,0,109,39,0,-2,0,0,1,,0,0,0,0,0
10016,6,10,13,3,3,87,0,113,43,0,-2,35,1,1,,35,0,0,0,0
10017,6,10,10,3,3,0,0,61,43,0,-2,42,2,1,,84,0,0,0,0
10024,6,12,10,3,3,51,0,93,1,0,-2,20,2,1,,40,0,0,0,0
10025,6,12,13,3,3,25,0,104,39,1,2,20,0,1,,0,0,0,0,0
11001,3,7,14,4,3,66,1,92,1,1,1,0,0,1,,0,0,0,0,0
11006,3,12,12,4,3,39,0,89,43,1,2,30,1,1,,30,0,0,0,0
11007,3,12,16,2,3,91,1,129,1,1,2,35,2,1,,70,0,0,0,0
11008,3,7,10,3,3,95,1,139,1,0,-2,0,0,1,,0,0,0,0,0
11013,3,7,7,3,3,-3,0,103,1,0,-2,0,0,1,,0,0,0,0,1
11014,3,12,12,3,3,98,1,129,43,0,-2,9,1,1,,9,0,0,0,0
11016,3,7,7,3,3,89,1,107,39,1,2,30,1,1,,30,0,0,0,0
11018,3,7,7,3,3,27,0,99,1,1,2,26,1,1,,26,0,0,0,0
11020,3,7,7,3,3,17,0,85,43,1,1,12,1,1,,12,0,0,0,0
11025,3,7,10,3,3,12,0,85,1,0,-2,0,0,1,,0,0,0,0,0
11027,3,12,7,3,3,29,0,96,44,0,-2,0,0,1,,0,0,0,0,0
11028,3,7,12,4,3,68,0,92,39,0,-2,0,0,1,,0,0,0,0,0
11032,3,16,13,3,3,85,0,121,1,0,-2,0,0,1,,0,0,0,0,0
12001,3,16,16,3,3,98,1,127,39,0,-2,3,2,1,,6,0,0,0,0
12008,3,10,10,3,3,4,0,76,43,0,-2,0,0,1,,0,0,0,0,0
12010,3,16,7,4,3,13,0,98,43,0,-2,0,0,1,,0,0,0,0,0
13001,2,-1,-1,2,3,0,0,81,44,1,1,0,0,1,,0,1,1,0,0
14010,5,12,-1,3,3,38,0,121,39,1,2,30,1,1,,30,0,1,0,0
14011,5,7,10,5,3,15,0,117,39,0,-2,0,0,1,,0,0,0,0,0
14012,5,10,10,3,3,4,0,76,1,1,2,5,1,1,,5,0,0,0,0
14014,5,7,7,3,3,28,0,109,39,1,1,35,1,1,,35,0,0,0,0
14016,5,7,7,3,3,39,0,102,39,0,-2,0,0,1,,0,0,0,0,0
14019,5,7,10,4,3,11,0,98,39,1,1,0,0,1,,0,0,0,0,0
14025,5,10,12,3,3,57,0,113,96,1,2,13,2,1,,26,0,0,0,0
14027,5,12,12,4,3,72,0,127,7,0,-2,28,1,1,,28,0,0,0,0
14031,5,-1,-1,3,3,12,0,109,96,1,2,34,1,1,,34,1,1,0,0
14033,5,7,7,3,3,47,0,104,1,0,-2,28,0,1,,0,0,0,0,0
14036,5,16,12,3,3,43,0,104,1,1,1,0,0,1,,0,0,0,0,0
14037,5,10,16,3,3,89,0,127,43,0,-2,16,1,1,,16,0,0,0,0
14043,5,16,12,3,3,5,0,99,1,1,2,35,1,1,,35,0,0,0,0
14044,5,16,12,3,3,40,0,109,1,1,1,0,0,1,,0,0,0,0,0
14049,5,18,16,3,3,91,0,121,43,0,-2,30,0,1,,0,0,0,0,0
14050,5,7,7,-3,3,96,0,139,43,1,1,0,0,1,,0,0,0,1,0
14051,5,12,12,3,3,23,0,102,39,1,2,0,0,1,,0,0,0,0,0
14052,5,14,12,4,3,63,0,129,1,1,4,30,1,1,,30,0,0,0,0
15001,3,7,-1,3,3,17,0,109,1,0,-2,8,1,1,,8,0,1,0,0
15005,3,13,13,3,3,0,0,92,1,1,2,27,1,1,,27,0,0,0,0
16002,2,7,7,3,3,-3,0,75,39,0,-2,0,0,1,,0,0,0,0,1
16006,2,7,12,3,3,71,0,88,38,1,2,0,0,1,,0,0,0,0,0
18002,3,7,7,4,3,45,0,77,1,1,2,0,0,1,,0,0,0,0,0
18005,3,7,7,4,3,6,0,77,1,0,-2,35,1,1,,35,0,0,0,0
18006,3,7,10,3,3,21,0,103,39,1,2,34,1,1,,34,0,0,0,0
18007,3,7,7,4,3,77,0,109,39,1,2,2,1,1,,2,0,0,0,0
18014,3,-3,-3,3,3,15,0,76,39,0,-2,35,5,1,,175,1,1,0,0
18016,3,7,7,3,3,9,0,88,1,0,-2,0,0,1,,0,0,0,0,0
19001,2,7,12,3,3,12,0,109,39,0,-2,30,2,1,,60,0,0,0,0
19003,2,7,7,3,3,34,0,92,1,1,2,5,2,1,,10,0,0,0,0
19006,2,7,12,3,3,50,0,118,39,0,-2,0,0,1,,0,0,0,0,0
19008,2,7,10,4,3,44,0,107,44,0,-2,15,1,1,,15,0,0,0,0
20002,3,13,12,3,3,29,0,101,1,1,2,10,1,1,,10,0,0,0,0
20004,3,7,10,3,3,75,0,117,43,1,2,35,1,1,,35,0,0,0,0
20005,3,10,10,3,3,38,0,109,43,1,1,0,0,1,,0,0,0,0,0
21001,3,7,7,4,3,62,0,107,39,0,-2,30,1,1,,30,0,0,0,0
21010,3,10,7,3,3,17,0,93,1,1,2,32,1,1,,32,0,0,0,0
21016,3,10,-3,3,3,83,0,104,1,1,1,0,0,1,,0,0,1,0,0
21017,3,7,7,3,3,97,1,125,40,1,4,0,0,1,,0,0,0,0,0
22003,3,10,10,3,3,52,0,112,39,0,-2,5,1,1,,5,0,0,0,0
22009,3,12,12,3,3,93,0,111,1,0,-2,0,0,1,,0,0,0,0,0
24003,8,7,7,3,3,13,0,101,39,1,2,40,2,1,,80,0,0,0,0
24013,8,18,12,3,3,10,0,107,1,1,2,35,1,1,,35,0,0,0,0
24020,8,10,10,4,3,26,0,103,43,1,2,35,3,1,,105,0,0,0,0
24021,8,10,10,3,3,69,0,101,39,1,2,0,0,1,,0,0,0,0,0
24025,8,10,10,3,3,43,0,91,41,0,-2,10,1,1,,10,0,0,0,0
24029,8,13,12,4,3,92,0,133,43,0,-2,0,0,1,,0,0,0,0,0
24034,8,13,10,4,3,21,0,91,1,0,-2,0,0,1,,0,0,0,0,0
24040,8,10,12,3,3,33,0,77,1,1,2,0,0,1,,0,0,0,0,0
25011,3,12,16,4,3,90,1,103,18,0,-2,0,0,1,,0,0,0,0,0
25013,3,12,10,2,3,10,0,86,39,1,2,30,2,1,,60,0,0,0,0
25015,3,12,7,-3,3,19,0,97,1,1,2,30,6,1,,180,0,0,1,0
25019,3,12,10,2,3,37,0,106,39,0,-2,17,1,1,,17,0,0,0,0
25020,3,7,7,3,3,21,0,71,39,1,2,37,0,1,,0,0,0,0,0
26008,4,10,12,3,3,80,1,102,40,1,1,10,1,1,,10,0,0,0,0
26013,4,7,13,3,3,88,1,129,1,0,-2,0,0,1,,0,0,0,0,0
26016,4,7,7,4,3,8,0,71,43,1,2,0,0,1,,0,0,0,0,0
26017,4,7,12,3,3,56,0,103,96,1,2,0,0,1,,0,0,0,0,0
26018,4,16,12,3,3,2,0,93,1,1,2,20,2,1,,40,0,0,0,0
26024,4,7,10,4,3,11,0,85,39,0,-2,5,1,1,,5,0,0,0,0
26028,4,14,12,3,3,6,0,77,40,1,2,30,0,1,,0,0,0,0,0
26029,4,7,12,4,3,91,1,115,39,1,4,0,0,1,,0,0,0,0,0
27008,6,7,7,3,1,49,0,86,1,1,2,6,0,1,,0,0,0,0,0
27009,6,-1,-1,3,1,50,0,75,1,0,-2,20,4,1,,80,1,1,0,0
27010,6,14,13,3,1,39,0,96,1,1,2,0,0,1,,0,0,0,0,0
27016,6,7,10,3,1,1,0,106,1,1,2,8,2,1,,16,0,0,0,0
28002,2,7,10,3,3,82,1,118,96,0,-2,28,3,1,,84,0,0,0,0
28006,2,12,13,3,3,88,1,106,1,0,-2,8,1,1,,8,0,0,0,0
29006,2,7,7,-3,3,-3,0,61,39,1,2,0,0,1,,0,0,0,1,1
29008,2,7,13,3,3,45,0,96,39,1,2,0,0,1,,0,0,0,0,0
29009,2,12,7,4,3,-3,0,99,39,0,-2,0,0,1,,0,0,0,0,1
29014,2,7,7,4,3,-3,0,101,39,0,-2,0,0,1,,0,0,0,0,1
30003,4,12,7,4,3,61,0,123,39,1,2,30,1,1,,30,0,0,0,0
30011,4,7,7,4,3,55,0,83,39,1,1,0,0,1,,0,0,0,0,0
30018,4,7,12,3,3,-3,0,104,43,1,2,0,0,1,,0,0,0,0,1
30022,4,14,13,4,3,-3,0,121,39,1,2,0,0,1,,0,0,0,0,1
30025,4,12,10,3,3,-3,0,98,39,1,2,11,0,1,,0,0,0,0,1
30026,4,10,10,3,3,12,0,91,18,1,2,0,0,1,,0,0,0,0,0
31002,6,13,7,3,3,29,0,94,39,0,-2,38,1,1,,38,0,0,0,0
31003,6,12,7,3,3,28,0,82,1,0,-2,0,0,1,,0,0,0,0,0
31011,6,10,7,3,3,38,0,107,44,1,2,25,2,1,,50,0,0,0,0
31015,6,7,10,3,3,84,0,111,39,0,-2,0,0,1,,0,0,0,0,0
31016,6,14,12,3,3,50,0,106,39,1,2,0,0,1,,0,0,0,0,0
31022,6,14,10,-3,3,62,0,87,96,0,-2,0,0,1,,0,0,0,1,0
31026,6,7,14,3,3,51,0,117,38,0,-2,35,2,1,,70,0,0,0,0
31035,6,10,12,4,3,36,0,125,39,1,2,30,1,1,,30,0,0,0,0
31038,6,7,10,2,3,47,0,92,1,1,2,12,1,1,,12,0,0,0,0
31048,6,12,14,3,3,76,1,98,39,1,2,21,1,1,,21,0,0,0,0
31052,6,-1,-1,4,3,9,0,87,39,1,2,38,1,1,,38,1,1,0,0
31054,6,12,12,3,3,60,0,103,39,1,2,10,1,1,,10,0,0,0,0
31055,6,7,13,3,3,62,0,121,39,1,1,17,0,1,,0,0,0,0,0
31057,6,10,12,3,3,17,0,102,1,1,2,21,2,1,,42,0,0,0,0
31060,6,13,14,3,3,36,0,104,40,1,1,0,0,1,,0,0,0,0,0
31064,6,7,14,3,3,13,0,109,39,1,2,37,1,1,,37,0,0,0,0
31076,6,10,-1,3,3,12,0,82,38,0,-2,15,1,1,,15,0,1,0,0
31078,6,13,13,4,3,44,0,87,39,0,-2,0,0,1,,0,0,0,0,0
31079,6,16,12,5,3,74,0,115,38,0,-2,0,0,1,,0,0,0,0,0
31080,6,12,7,2,3,81,0,93,39,1,2,14,1,1,,14,0,0,0,0
31083,6,10,10,3,3,93,0,121,40,0,-2,0,0,1,,0,0,0,0,0
31086,6,12,12,3,3,36,0,102,40,0,-2,20,1,1,,20,0,0,0,0
31088,6,14,14,3,3,57,0,94,38,1,1,25,2,1,,50,0,0,0,0
31089,6,14,13,4,3,78,0,109,38,0,-2,8,1,1,,8,0,0,0,0
31096,6,10,10,3,3,50,0,106,43,1,2,12,1,1,,12,0,0,0,0
32003,3,10,10,3,3,2,0,99,39,0,-2,30,1,1,,30,0,0,0,0
32006,3,10,12,3,3,18,0,99,96,1,1,5,1,1,,5,0,0,0,0
32008,3,10,10,3,3,60,0,101,1,0,-2,5,0,1,,0,0,0,0,0
32009,3,10,12,3,3,12,0,94,43,1,1,0,0,1,,0,0,0,0,0
32010,3,7,16,3,3,70,0,93,39,0,-2,0,0,1,,0,0,0,0,0
34005,5,10,10,4,3,13,0,96,39,0,-2,15,1,1,,15,0,0,0,0
34009,5,7,7,3,3,73,0,113,39,0,-2,30,1,1,,30,0,0,0,0
34022,5,7,10,3,3,76,0,94,1,0,-2,0,0,1,,0,0,0,0,0
34025,5,16,16,4,3,44,1,103,38,1,2,30,1,1,,30,0,0,0,0
34028,5,12,12,4,3,75,0,113,1,1,4,0,0,1,,0,0,0,0,0
34031,5,10,10,2,3,23,0,101,39,1,2,0,0,1,,0,0,0,0,0
34034,5,7,7,3,3,92,1,124,39,0,-2,0,0,1,,0,0,0,0,0
34037,5,13,10,3,3,4,0,67,41,0,-2,0,0,1,,0,0,0,0,0
35005,2,10,10,3,3,72,0,104,39,0,-2,0,0,1,,0,0,0,0,0
35007,3,-1,-1,3,3,33,0,92,1,0,-2,0,0,1,,0,1,1,0,0
35009,2,-3,7,3,3,26,0,75,39,1,2,0,0,1,,0,1,0,0,0
35012,3,10,7,3,3,25,0,115,1,1,2,0,0,1,,0,0,0,0,0
35013,3,13,7,4,3,60,0,99,1,1,2,0,0,1,,0,0,0,0,0
35016,3,12,12,3,3,42,0,93,39,1,2,25,2,1,,50,0,0,0,0
36001,2,7,16,3,3,30,0,112,39,1,2,10,0,1,,0,0,0,0,0
37001,2,10,7,3,3,13,0,99,39,0,-2,30,1,1,,30,0,0,0,0
37002,2,7,7,3,3,67,1,123,1,0,-2,0,0,1,,0,0,0,0,0
37004,2,-1,10,3,3,53,0,91,44,0,-2,0,0,1,,0,1,0,0,0
38001,6,7,10,3,1,4,0,111,1,1,2,12,3,1,,36,0,0,0,0
38002,6,18,12,5,1,68,0,117,1,1,2,3,1,1,,3,0,0,0,0
38005,6,7,7,3,1,5,0,87,1,1,2,0,0,1,,0,0,0,0,0
38007,6,12,16,3,1,6,0,94,1,0,-2,14,0,1,,0,0,0,0,0
38009,6,18,12,4,1,71,0,106,1,1,2,0,0,1,,0,0,0,0,0
38017,6,16,16,4,1,47,0,125,1,0,-2,40,1,1,,40,0,0,0,0
38031,6,12,18,4,1,88,1,109,1,1,0,30,1,1,,30,0,0,0,0
39002,4,12,12,4,1,11,0,94,1,1,1,30,3,1,,90,0,0,0,0
39003,4,16,16,4,1,64,1,125,1,0,-2,0,0,1,,0,0,0,0,0
39004,4,18,16,4,1,51,0,115,1,1,0,0,0,1,,0,0,0,0,0
39009,4,16,14,4,1,95,1,129,1,1,4,32,1,1,,32,0,0,0,0
39010,4,18,18,3,1,70,1,118,1,0,-2,34,1,1,,34,0,0,0,0
39012,4,7,16,5,1,73,1,125,1,0,-2,30,1,1,,30,0,0,0,0
39013,4,16,12,4,1,65,0,109,1,1,2,10,0,1,,0,0,0,0,0
39014,4,10,12,3,1,74,0,118,1,0,-2,15,0,1,,0,0,0,0,0
39015,4,16,16,5,1,59,0,117,1,1,4,0,0,1,,0,0,0,0,0
39016,4,10,10,3,1,35,1,121,1,0,-2,32,3,1,,96,0,0,0,0
39020,4,7,13,4,1,99,1,139,1,0,-2,0,0,1,,0,0,0,0,0
39021,4,12,12,5,1,81,1,129,1,1,1,31,2,1,,62,0,0,0,0
39022,4,16,14,3,1,21,0,109,1,1,4,17,1,1,,17,0,0,0,0
39029,4,13,16,5,1,44,1,129,1,1,2,25,2,1,,50,0,0,0,0
39032,4,10,12,3,1,66,1,139,1,0,-2,2,1,1,,2,0,0,0,0
39033,4,14,13,3,1,91,1,139,1,1,2,0,0,1,,0,0,0,0,0
39035,4,7,14,3,1,12,0,104,1,0,-2,0,0,1,,0,0,0,0,0
40002,4,12,18,4,3,52,0,113,41,1,4,5,1,1,,5,0,0,0,0
40003,4,7,7,3,3,13,0,83,44,0,-2,35,1,1,,35,0,0,0,0
40014,4,13,12,3,3,85,0,117,1,1,4,0,0,1,,0,0,0,0,0
40019,4,7,12,3,3,27,0,75,43,1,2,35,1,1,,35,0,0,0,0
40021,4,10,12,3,3,23,0,102,96,1,2,8,1,1,,8,0,0,0,0
41004,2,7,10,3,3,47,0,103,1,0,-2,30,2,1,,60,0,0,0,0
41010,2,7,7,3,3,59,0,112,1,0,-2,0,0,1,,0,0,0,0,0
42003,4,13,12,3,3,76,0,93,39,1,1,35,1,1,,35,0,0,0,0
42010,4,7,7,3,3,25,0,83,39,1,2,0,0,1,,0,0,0,0,0
42013,4,7,7,5,3,51,0,83,1,0,-2,38,0,1,,0,0,0,0,0
42014,4,10,12,3,3,86,0,88,39,1,2,18,4,1,,72,0,0,0,0
43001,2,10,10,3,3,71,0,120,1,0,-2,0,0,1,,0,0,0,0,0
43005,2,10,7,5,3,19,0,76,39,1,2,0,0,1,,0,0,0,0,0
44009,2,-3,7,3,3,24,0,81,39,0,-2,10,0,1,,0,1,0,0,0
45001,2,12,12,3,3,89,0,123,1,0,-2,0,0,1,,0,0,0,0,0
45003,2,12,7,3,3,14,0,96,39,1,2,0,0,1,,0,0,0,0,0
46004,3,10,10,3,3,14,0,98,43,1,2,0,0,1,,0,0,0,0,0
46005,3,12,14,3,3,21,0,97,43,0,-2,0,0,1,,0,0,0,0,0
46006,3,7,12,3,3,4,0,94,1,0,-2,16,2,1,,32,0,0,0,0
46008,3,10,16,3,3,71,0,118,1,1,1,0,0,1,,0,0,0,0,0
47004,6,7,10,4,3,13,0,102,1,0,-2,0,0,1,,0,0,0,0,0
47009,6,7,12,3,3,10,1,102,39,0,-2,25,2,1,,50,0,0,0,0
47010,6,7,7,3,3,56,0,103,39,0,-2,12,1,1,,12,0,0,0,0
47011,6,-1,-1,2,3,95,1,145,38,1,0,0,0,1,,0,1,1,0,0
47020,6,14,13,3,3,43,1,97,1,0,-2,12,1,1,,12,0,0,0,0
47024,6,13,13,4,3,55,0,118,1,0,-2,35,1,1,,35,0,0,0,0
47025,6,12,7,3,3,68,1,109,40,0,-2,0,0,1,,0,0,0,0,0
47028,6,16,16,4,3,1,0,107,39,1,2,30,0,1,,0,0,0,0,0
47032,6,14,14,3,3,46,0,104,43,1,2,30,1,1,,30,0,0,0,0
47035,6,7,10,3,3,83,1,129,39,0,-2,25,0,1,,0,0,0,0,0
47039,6,10,12,4,3,87,1,117,42,0,-2,20,2,1,,40,0,0,0,0
47041,6,13,7,3,3,38,0,111,40,0,-2,15,1,1,,15,0,0,0,0
47043,6,10,12,2,3,17,1,103,40,0,-2,3,0,1,,0,0,0,0,0
47047,6,14,14,3,3,52,0,109,1,1,1,35,0,1,,0,0,0,0,0
47053,6,7,7,3,3,48,0,127,42,1,2,14,1,1,,14,0,0,0,0
47056,6,12,14,4,3,48,0,99,18,1,4,18,2,1,,36,0,0,0,0
48003,3,7,7,3,3,87,0,103,1,1,1,0,0,1,,0,0,0,0,0
48009,3,7,7,3,3,66,0,96,39,0,-2,0,0,1,,0,0,0,0,0
48010,3,12,10,3,3,57,0,79,39,1,2,30,2,1,,60,0,0,0,0
50001,2,7,-3,3,3,9,0,86,39,1,2,0,0,1,,0,0,1,0,0
50006,2,7,7,3,3,17,0,73,43,1,2,0,0,1,,0,0,0,0,0
50007,2,10,10,3,3,70,0,104,40,1,1,36,1,1,,36,0,0,0,0
51002,4,10,14,3,3,34,0,82,39,1,2,0,0,1,,0,0,0,0,0
51008,4,7,7,3,3,13,0,103,43,1,2,16,2,1,,32,0,0,0,0
51009,4,13,10,3,3,24,0,118,1,1,1,30,2,1,,60,0,0,0,0
51011,4,12,10,3,3,52,1,99,40,0,-2,0,0,1,,0,0,0,0,0
51014,4,10,13,3,3,66,0,115,1,1,2,12,1,1,,12,0,0,0,0
51016,4,13,-3,3,3,64,0,102,39,0,-2,30,2,1,,60,0,1,0,0
51018,4,12,10,3,3,26,0,96,43,1,2,30,3,1,,90,0,0,0,0
51023,4,10,12,3,3,24,0,94,39,0,-2,0,0,1,,0,0,0,0,0
51025,4,16,14,3,3,32,0,109,43,0,-2,0,0,1,,0,0,0,0,0
51026,4,-1,12,3,3,25,0,89,39,0,-2,35,1,1,,35,1,0,0,0
52006,9,7,7,4,3,-3,0,125,1,1,2,0,0,1,,0,0,0,0,1
52007,9,7,7,3,3,59,0,109,1,1,2,33,2,1,,66,0,0,0,0
52012,9,10,12,3,3,17,0,103,1,0,-2,0,0,1,,0,0,0,0,0
52014,9,10,7,3,3,-3,0,98,1,0,-2,35,1,1,,35,0,0,0,1
52016,9,14,12,4,3,-3,0,98,1,1,2,0,0,1,,0,0,0,0,1
52021,9,16,-1,3,3,-3,0,97,1,0,-2,8,0,1,,0,0,1,0,1
52024,9,13,12,3,3,-3,0,111,96,1,2,20,1,1,,20,0,0,0,1
52027,9,-1,-1,3,3,-3,0,91,1,0,-2,30,1,1,,30,1,1,0,1
52033,9,12,12,3,3,20,0,111,39,1,2,0,0,1,,0,0,0,0,0
52034,9,12,12,3,3,-3,0,92,1,1,2,40,1,1,,40,0,0,0,1
52037,9,7,7,4,3,45,0,106,39,0,-2,0,0,1,,0,0,0,0,0
52041,9,7,12,3,3,67,0,79,1,0,-2,12,2,1,,24,0,0,0,0
52060,9,7,12,3,3,81,0,94,1,1,2,25,1,1,,25,0,0,0,0
52062,9,12,7,3,3,28,0,107,1,1,2,33,2,1,,66,0,0,0,0
52071,9,12,-1,3,3,-3,0,93,1,0,-2,12,1,1,,12,0,1,0,1
52078,9,7,12,3,3,-3,0,86,1,1,2,20,2,1,,40,0,0,0,1
52084,9,-1,-1,3,3,78,0,109,1,0,-2,15,1,1,,15,1,1,0,0
52087,9,10,12,3,3,1,0,104,39,1,2,14,1,1,,14,0,0,0,0
52092,9,12,12,3,3,-3,0,112,44,0,-2,11,1,1,,11,0,0,0,1
53005,3,7,7,3,3,8,0,88,44,0,-2,0,0,1,,0,0,0,0,0
53010,3,7,12,3,3,48,0,86,1,1,2,32,1,1,,32,0,0,0,0
53013,3,12,12,3,3,58,0,101,42,0,-2,0,0,1,,0,0,0,0,0
53014,3,12,12,3,3,84,0,109,39,0,-2,27,1,1,,27,0,0,0,0
54007,6,10,10,3,1,62,0,99,1,0,-2,0,0,1,,0,0,0,0,0
54019,6,7,7,2,1,38,1,109,1,1,2,0,0,1,,0,0,0,0,0
54020,6,7,10,3,1,55,0,99,1,1,4,0,0,1,,0,0,0,0,0
54022,6,16,14,3,1,8,0,102,1,0,-2,20,1,1,,20,0,0,0,0
56004,3,13,7,4,3,18,0,93,18,1,2,22,2,1,,44,0,0,0,0
56007,3,14,16,2,3,82,0,115,43,0,-2,0,0,1,,0,0,0,0,0
56009,3,-1,-1,3,3,26,0,112,38,1,1,25,1,1,,25,1,1,0,0
56010,3,10,16,3,3,9,0,89,40,1,2,38,2,1,,76,0,0,0,0
56014,3,13,12,3,3,3,0,75,1,1,2,25,1,1,,25,0,0,0,0
56017,3,7,14,3,3,49,0,87,39,0,-2,37,0,1,,0,0,0,0,0
56020,3,10,7,4,3,37,0,97,39,1,2,22,1,1,,22,0,0,0,0
57010,4,7,16,3,3,51,0,106,39,0,-2,0,0,1,,0,0,0,0,0
57013,4,7,12,3,3,25,0,96,39,0,-2,6,0,1,,0,0,0,0,0
57016,4,12,12,3,3,76,0,104,1,1,2,30,2,1,,60,0,0,0,0
57022,4,13,13,2,3,82,0,103,1,0,-2,0,0,1,,0,0,0,0,0
57024,4,14,12,4,3,49,0,111,39,1,2,20,2,1,,40,0,0,0,0
58002,3,12,13,3,3,20,0,106,1,1,2,35,1,1,,35,0,0,0,0
58007,3,7,7,4,3,26,0,113,39,1,2,20,1,1,,20,0,0,0,0
58009,3,10,12,4,3,94,0,139,39,0,-2,20,2,1,,40,0,0,0,0
58010,3,14,13,4,3,44,0,107,1,1,2,12,1,1,,12,0,0,0,0
58017,3,7,12,3,3,9,1,118,1,1,4,0,0,1,,0,0,0,0,0
59001,4,13,10,3,3,42,0,103,1,1,1,0,0,1,,0,0,0,0,0
59010,4,10,16,3,3,53,0,125,39,1,2,0,0,1,,0,0,0,0,0
59017,4,-3,-3,3,3,7,0,93,1,1,2,32,1,1,,32,1,1,0,0
59019,4,7,13,3,3,9,0,67,1,0,-2,0,0,1,,0,0,0,0,0
